InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1143,1121009028957,14.1,0.05,24.0956,21.00495,55975.11464,0
1143,1121009028957,14.22,0.05,24.09569,21.00498,56186.30706,0
1143,1121009028957,14.23,0.05,24.09569,21.00496,56186.31403,0
1143,1121009028957,14.19,0.05,24.09569,21.00498,56186.32102,0
1143,1121009028957,14.17,0.05,24.09565,21.00496,56186.32802,0
1143,1121009028957,14.18,0.05,24.09561,21.00499,56208.35147,0
1143,1121009028957,14.19,0.05,24.09564,21.00498,56208.35675,0
1143,1121009028957,14.22,0.05,24.09562,21.00497,56208.36182,0
1143,1121009028957,14.23,0.05,24.09563,21.00497,56208.36687,0
1143,1121009028957,14.35,0.06,24.09564,21.00496,56216.32303,0
1143,1121009028957,14.3,0.06,24.09561,21.00494,56216.32934,0
1143,1121009028957,14.25,0.05,24.09566,21.00496,56216.33562,0
1143,1121009028957,14.2,0.05,24.09564,21.00499,56216.34185,0
1143,1121009028957,14.13,0.06,24.09564,21.00498,56225.22984,0
1143,1121009028957,14.14,0.06,24.09564,21.00498,56225.23688,0
1143,1121009028957,14.2,0.06,24.09564,21.00499,56225.2439,0
1143,1121009028957,14.22,0.06,24.09569,21.00499,56225.25095,0
1143,1121009028957,14.3,0.06,24.09565,21.00499,56233.34945,0
1143,1121009028957,14.2,0.05,24.09561,21.00497,56233.35849,0
1143,1121009028957,14.13,0.05,24.09559,21.00499,56233.36749,0
1143,1121009028957,14.1,0.05,24.09563,21.00499,56233.37656,0
1143,1121009028957,14.14,0.05,24.09564,21.00497,56244.32795,0
1143,1121009028957,14.19,0.05,24.09561,21.00496,56244.33497,0
1143,1121009028957,14.26,0.05,24.09562,21.00497,56244.34203,0
1143,1121009028957,14.3,0.05,24.09561,21.00496,56244.34909,0
1143,1121009028957,14.22,0.05,24.09565,21.00499,56251.14441,0
1143,1121009028957,14.22,0.05,24.09573,21.00496,56251.14997,0
1143,1121009028957,14.23,0.05,24.09567,21.00499,56251.1556,0
1143,1121009028957,14.24,0.05,24.09568,21.00498,56251.16124,0
1143,1121009028957,14.11,0.05,24.09565,21.00496,56265.14545,0
1143,1121009028957,14.13,0.05,24.09566,21.00495,56265.1505,0
1143,1121009028957,14.15,0.05,24.09566,21.00497,56265.15555,0
1143,1121009028957,14.19,0.05,24.09567,21.00497,56265.16065,0
1143,1121009028957,14.21,0.05,24.09561,21.00497,56298.21735,0
1143,1121009028957,14.13,0.05,24.09563,21.00496,56298.2255,0
1143,1121009028957,14.07,0.05,24.09565,21.00496,56298.23381,0
1143,1121009028957,14.05,0.05,24.09562,21.00496,56298.24212,0
1143,1121009028957,14.15,0.05,24.09563,21.00499,56314.14078,0
1143,1121009028957,14.21,0.05,24.09559,21.00498,56314.14921,0
1143,1121009028957,14.23,0.05,24.09561,21.00498,56314.15769,0
1143,1121009028957,14.26,0.05,24.09566,21.00495,56314.16622,0
1143,1121009028957,14.08,0.05,24.09574,21.0049,56539.36733,0
1143,1121009028957,14.08,0.05,24.09573,21.00492,56539.37177,0
1143,1121009028957,14.06,0.05,24.09572,21.00491,56539.37624,0
1143,1121009028957,14.07,0.05,24.0957,21.00491,56539.38069,0
1143,1121009028957,14.25,0.06,24.09571,21.00493,56551.36425,0
1143,1121009028957,14.3,0.06,24.09573,21.00491,56551.36969,0
1143,1121009028957,14.36,0.06,24.09573,21.00491,56551.37538,0
1143,1121009028957,14.38,0.06,24.09573,21.00492,56551.38106,0
1143,1121009028957,14.17,0.05,24.09567,21.00496,56561.36332,0
1143,1121009028957,14.22,0.05,24.09567,21.00494,56561.37003,0
1143,1121009028957,14.25,0.05,24.09568,21.00495,56561.37683,0
1143,1121009028957,14.25,0.05,24.09566,21.00495,56561.38354,0
1143,1121009028957,14.11,0.05,24.09573,21.0049,56580.20549,0
1143,1121009028957,14.13,0.05,24.09572,21.0049,56580.21342,0
1143,1121009028957,14.17,0.05,24.09571,21.00492,56580.22136,0
1143,1121009028957,14.23,0.05,24.09572,21.00491,56580.22923,0
1143,1121009028957,14.23,0.05,24.09566,21.00493,56589.43125,0
1143,1121009028957,14.23,0.05,24.09567,21.00491,56589.43363,0
1143,1121009028957,14.25,0.06,24.09567,21.00493,56589.43601,0
1143,1121009028957,14.26,0.06,24.09568,21.00491,56589.43839,0
1143,1121009028957,14.29,0.06,24.0957,21.00493,56595.201,0
1143,1121009028957,14.24,0.05,24.09571,21.0049,56595.20604,0
1143,1121009028957,14.25,0.05,24.0957,21.00491,56595.21107,0
1143,1121009028957,14.23,0.05,24.09567,21.00492,56595.21611,0
